FileName,L1,L2,L3,L4,L5,L6,D1,D2,D3,D4,D5,D6,DA1,DA2,DA3,DA4,DA5,DA6,zfs,E/D
590,O,OC(O)c1nccnc1C(O)O,O,OC(O)c1nccnc1C(O)O,X,X,1,2,1,2,0,0,O,O,N,O,O,N,83.567207,0.103763
591,COc1ccc(C(O)O)cc1,NC(O)c1cccnc1,O,COc1ccc(C(O)O)cc1,NC(O)c1cccnc1,O,1,1,1,1,1,1,O,O,N,O,O,N,95.233777,0.23574
592,OC(O)c1ccc(-c2cnc(-c3ccc(C(O)O)cc3)c(C(O)O)c2)cc1,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,O,X,X,1,2,2,1,0,0,N,N,N,N,O,O,111.670649,0.262479
593,OS(O)(O)C1=CC=C(C=2C=C(C=3C=CC=NC=3)NC(C=3C=CC=NC=3)C=2)C(S(O)(O)O)=C1,OS(O)(O)C1=CC=C(C=2C=C(C=3C=CC=NC=3)NC(C=3C=CC=NC=3)C=2)C(S(O)(O)O)=C1,O,O,O,O,1,1,1,1,1,1,N,O,O,N,O,O,40.06645901,0.123156615
594,OC(O)CN1CCCN(CC(O)O)CCC1,O,X,X,X,X,5,1,0,0,0,0,N,N,C,O,O,O,36.895591,0.169737
595,Cl,Cl,c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,X,X,1,1,2,2,0,0,Cl,Cl,N,N,N,N,64.442845,0.169181
596,c1ccc(-c2nnc(-c3cccnc3)n2-c2ccncc2)nc1,O,c1ccc(-c2nnc(-c3cccnc3)n2-c2ccncc2)nc1,O,X,X,2,1,2,1,0,0,N,N,O,N,N,O,43.142224,0.146327
597,NC(S)NNCc1ncc[nH]1,C=1N=C(CNNC(S)N)NC1,X,X,X,X,3,3,0,0,0,0,S,N,N,S,N,N,24.16293082,0.175171467
598,CCc1nc2ccccc2[nH]1,S,CCc1nc2ccccc2[nH]1,CCc1nc2ccccc2[nH]1,S,CCc1nc2ccccc2[nH]1,1,1,1,1,1,1,N,S,N,N,S,N,81.71957,0.022647
600,NCS,NC(O)c1ccccn1,NCS,NC(O)c1ccccn1,X,X,1,2,1,2,0,0,O,N,N,O,N,N,85.322343,0.279486
601,c1cc2nc(c1)CNc1ccccc1OCCCCOc1ccccc1NC2,ON(O)O,ON(O)O,X,X,X,3,1,2,0,0,0,N,N,N,O,O,O,-73.976399,0.273222
602,NCS,O,CC(Cc1ccncn1)c1cccnc1,NCS,O,CC(Cc1ccncn1)c1cccnc1,1,1,1,1,1,1,O,N,N,O,N,N,92.923448,0.168017
603,NCS,CO,CC(Cc1ccncn1)c1cccnc1,NCS,CO,CC(Cc1ccncn1)c1cccnc1,1,1,1,1,1,1,O,N,N,O,N,N,84.188652,0.267413
604,c1ccc(-c2ccncc2)cc1,Cl,c1ccc(-c2ccncc2)cc1,c1ccc(-c2ccncc2)cc1,Cl,c1ccc(-c2ccncc2)cc1,1,1,1,1,1,1,N,Cl,N,N,Cl,N,131.510072,0.066785
605,c1ccc(-c2cc(N3CCCC3)cc(-c3ccccn3)n2)nc1,c1ccc(-c2cc(N3CCCC3)cc(-c3ccccn3)n2)nc1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,-79.451374,0.253756
606,CC(C)c1nc([PH](O)(c2c[nH]c(C(C)C)n2)c2c[nH]c(C(C)C)n2)c[nH]1,O,ON(O)O,X,X,X,3,1,2,0,0,0,O,O,O,N,N,N,85.000176,0.257168
607,NCS,NCS,CC(O)c1ccncc1,CC(O)c1ccncc1,CC(O)c1ccncc1,CC(O)c1ccncc1,1,1,1,1,1,1,N,N,N,N,N,N,125.804793,0.211243
608,CC(O)CC(C)O,c1cc2ccc3ccc(-c4ccncc4)c4ccc(c1)c2c34,CC(O)CC(C)O,c1cc2ccc3ccc(-c4ccncc4)c4ccc(c1)c2c34,X,X,2,1,2,1,0,0,O,O,N,O,O,N,84.603069,0.099477
609,O,O,Cc1cc(C)n2ncnc2n1,O,O,Cc1cc(C)n2ncnc2n1,1,1,1,1,1,1,O,O,N,O,O,N,4.258823,0.124939
